Gender,Age_range,Status,Occupation,Monthly_income,Daily_usage_duration,Smartphone_importance,Key_factor_online_purchase,Brand_satisfaction,Purchase_problem,Frequent_apps,Top3_smartphone_activities,Current_brand
Male,33-40,Single,Government officer,15001-20000,1-3 hours,Necessary,Product feature,5,Concerns about payment security,"Instagram, Facebook, Facebook Messenger, Spotify, TikTok","Watch movies/listen to music, Play games, Social media",Vivo
Female,26-32,Single,Business owner,15001-20000,,Not necessary,Product feature,1,Delivery delay,"Instagram, YouTube, Facebook Messenger, TikTok","Watch movies/listen to music, Social media",Vivo
Female,60+,Single,Business owner,20001-30000,0-1 hours,Necessary,Product feature,3,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok","Online shopping, Social media, Finance",Realme
Female,60+,Single,Private company employee,20001-30000,3-5 hours,Not necessary,Product feature,5,Delivery delay,"Facebook, Facebook Messenger, Spotify, TikTok","Online shopping, Track delivery, Customer chat",Huawei
Male,26-32,Single,Private company employee,15001-20000,0-1 hours,Not necessary,Product feature,4,Warranty or service concerns,Telegram,Play games,Apple
Female,26-32,Single,Business owner,20001-30000,0-1 hours,Most necessary,Product feature,5,Warranty or service concerns,Microsoft Teams,"Play games, Take photos/videos",Realme
Female,26-32,Married,Business owner,15001-20000,1-3 hours,Not necessary,Product feature,2,Unable to inspect product,Google Maps,"Play games, Watch movies, Take photos",Realme
Male,18-25,Single,Private company employee,15001-20000,3-5 hours,Not necessary,Product review,5,Unable to inspect product,LINE,"Read news, Check stocks, Finance",Realme
Female,26-32,Single,Business owner,20001-30000,1-3 hours,Not necessary,Product feature,5,Unable to inspect product,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok","Watch movies/listen to music, Play games",Vivo
Female,41-50,Single,Business owner,15001-20000,3-5 hours,Necessary,Product feature,1,Delivery delay,Google Maps,"Play games, Streaming, Social media",Realme
Male,60+,Single,Business owner,20001-30000,1-3 hours,Necessary,Price,5,Unable to inspect product,"Instagram, YouTube, TikTok",Watch movies/listen to music,Vivo
Male,18-25,Single,Business owner,15001-20000,More than 5 hours,Not necessary,Product feature,5,Concerns about payment security,WhatsApp,"Read news, Check stocks, Finance",Oppo
Male,60+,Married,Business owner,15001-20000,More than 5 hours,Not necessary,Product feature,4,Unable to inspect product,WhatsApp,"Cloud apps, Communication/meetings, Social media",Samsung
Female,60+,Married,Private company employee,15001-20000,More than 5 hours,Necessary,Product feature,1,Concerns about payment security,"Facebook, TikTok, Line","Social media, Take photos/videos, Watch movies/Listen to music",Apple
Male,41-50,Single,Business owner,15001-20000,3-5 hours,Not necessary,Product feature,3,Unable to inspect product,"Instagram, Facebook, YouTube","Watch movies/listen to music, Take photos/videos, Communication/meetings",Samsung
Female,41-50,Single,Private company employee,15001-20000,More than 5 hours,Most necessary,Product feature,2,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify","Watch movies/listen to music, Take photos/videos, Communication/meetings",Xiaomi
Male,18-25,Single,Business owner,More than 50001,3-5 hours,Most necessary,Product feature,1,Unable to inspect product,"Facebook, Facebook Messenger, Spotify","Play games, Take photos/videos",Samsung
Male,33-40,Single,Private company employee,20001-30000,1-3 hours,Not necessary,Product feature,5,Unable to inspect product,Gmail,"Watch movies/listen to music, Play games, Cloud apps",Vivo
Male,41-50,Single,Business owner,15001-20000,,Most necessary,Product feature,3,Concerns about payment security,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram","Take photos/videos, Communication/meetings, Social media",Xiaomi
Male,33-40,Single,Private company employee,More than 50001,,Necessary,Product feature,3,Unable to inspect product,Gmail,"Play games, Streaming, Social media",Samsung
Female,26-32,Single,Private company employee,15001-20000,1-3 hours,Not necessary,Product feature,5,Unable to inspect product,"Instagram, Facebook, YouTube, Spotify, TikTok","Watch movies/listen to music, Social media",Samsung
Male,60+,Single,Private company employee,15001-20000,,Necessary,Product feature,4,Concerns about payment security,Gmail,"Play games, Take photos/videos, Cloud apps",Realme 7 5G
Male,26-32,Single,Private company employee,15001-20000,3-5 hours,Necessary,Product feature,5,Concerns about payment security,"Facebook, Facebook Messenger, Spotify","Watch movies, Listen to music, Take photos",Huawei
Male,26-32,Single,Student,More than 50001,1-3 hours,Not necessary,Product feature,1,Delivery delay,TikTok,"Play esports, Stream games, Community chat",Oppo
Female,26-32,Single,Business owner,15001-20000,3-5 hours,Necessary,Product feature,5,Unable to inspect product,Shopee,"Take photos/videos, Watch movies/Listen to music, Online shopping",Xiaomi
Male,33-40,Single,Private company employee,15001-20000,0-1 hours,Not necessary,Product feature,4,Concerns about payment security,"Instagram, Facebook, YouTube, Spotify, TikTok","Communication/meetings, Social media",Xiaomi
Female,41-50,Married,Business owner,More than 50001,3-5 hours,Not necessary,Product feature,1,Concerns about payment security,"Instagram, Facebook, YouTube, Spotify, TikTok","Art photography, Video editing, Upload stories",Oppo
Male,33-40,Single,Business owner,15001-20000,,Necessary,Product feature,5,Unable to inspect product,Microsoft Teams,"Product photography, Edit reviews, Online marketplace",Realme
Female,26-32,Single,Private company employee,20001-30000,3-5 hours,Not necessary,Product feature,3,Warranty or service concerns,"Facebook, Facebook Messenger, Spotify, TikTok","Product photography, Edit reviews, Online marketplace",Huawei
Male,60+,Single,Business owner,15001-20000,1-3 hours,Necessary,Product feature,2,Concerns about payment security,"Instagram, YouTube, Facebook Messenger, TikTok","Watch movies, Take photos, Listen to music",Huawei
Female,26-32,Married,Private company employee,20001-30000,More than 5 hours,Not necessary,Product feature,2,Unable to inspect product,Discord,Watch movies/listen to music,Huawei
Female,33-40,Married,Student,15001-20000,,Not necessary,Product feature,3,Unable to inspect product,"Instagram, TikTok","Watch movies/listen to music, Take photos/videos, Communication/meetings",Samsung
Female,41-50,Single,Business owner,20001-30000,More than 5 hours,Necessary,Product feature,4,Unable to inspect product,"Instagram, Facebook, Facebook Messenger, TikTok, Telegram","Play games, Watch movies, Take photos",Xiaomi
Female,41-50,Single,Private company employee,15001-20000,1-3 hours,Most necessary,Product feature,4,Unable to inspect product,Instagram,"Communication/meetings, Social media",Vivo
Female,33-40,Single,Business owner,15001-20000,More than 5 hours,Most necessary,Product feature,1,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram","Play games, Take photos/videos",Oppo
Male,26-32,Single,Private company employee,15001-20000,3-5 hours,Not necessary,Price,2,Unable to inspect product,TikTok,"Online shopping, Social media, Finance",Xiaomi
Male,33-40,Single,Private company employee,More than 50001,,Necessary,Product feature,3,Unable to inspect product,Gmail,"Play games, Streaming, Social media",Samsung
Male,60+,Single,Business owner,15001-20000,0-1 hours,Not necessary,Product feature,4,Concerns about payment security,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X","Watch movies/listen to music, Play games, Cloud apps",Redmi
Female,26-32,Single,Private company employee,20001-30000,3-5 hours,Not necessary,Product feature,4,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok","Watch movies/listen to music, Play games, Take photos",Vivo
Male,60+,Married,Government officer,15001-20000,More than 5 hours,Most necessary,Product feature,3,Unable to inspect product,"Facebook, YouTube, Facebook Messenger, Spotify","Streaming, Take photos/videos, Edit video",Xiaomi
Male,26-32,Single,Private company employee,15001-20000,,Not necessary,Product feature,4,Delivery delay,"Instagram, YouTube, Spotify, Telegram","/, Email, Finance",Vivo
Female,60+,Single,Private company employee,20001-30000,0-1 hours,Not necessary,Product feature,1,Delivery delay,"Instagram, Facebook Messenger, TikTok","Read news, Check stocks, Finance",Xiaomi
Male,26-32,Single,Private company employee,15001-20000,3-5 hours,Most necessary,Product feature,5,Unable to inspect product,SET,"Email, , Finance",Huawei
Male,33-40,Single,Student,More than 50001,More than 5 hours,Necessary,Product feature,5,Unable to inspect product,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram","Watch movies/listen to music, Play games, Social media",Oppo
Male,26-32,Single,Private company employee,15001-20000,1-3 hours,Necessary,Product feature,1,Concerns about payment security,"YouTube, Facebook Messenger, Discord, Wise","Communication, Take photos, Social media",Oppo
Male,18-25,Single,Business owner,15001-20000,3-5 hours,Necessary,Product feature,1,Unable to inspect product,Telegram,"Play esports, Stream games, Community chat",Apple
Male,26-32,Single,Business owner,15001-20000,,Most necessary,Product feature,1,Unable to inspect product,"Instagram, Facebook, YouTube, TikTok","Watch movies/listen to music, Play games, Take photos/videos",Apple
Female,33-40,Married,Private company employee,15001-20000,More than 5 hours,Not necessary,Product feature,4,Concerns about payment security,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, TikTok","Watch movies/listen to music, Take photos/videos, Social media",Xiaomi
Female,60+,Single,Private company employee,30001-40000,More than 5 hours,Not necessary,Product feature,3,Warranty or service concerns,SET,"Watch movies/listen to music, Take photos/videos, Communication/meetings",Samsung
Male,26-32,Single,Private company employee,15001-20000,1-3 hours,Not necessary,Product feature,2,Warranty or service concerns,"Instagram, YouTube, Facebook Messenger, Spotify, TikTok","Play esports, Stream games, Community chat",Samsung
Male,18-25,Married,Business owner,20001-30000,1-3 hours,Necessary,Product feature,3,Concerns about payment security,"Instagram, Facebook, YouTube, Facebook Messenger","Play games, Watch movies, Take photos",Huawei
Female,26-32,Married,Private company employee,15001-20000,1-3 hours,Not necessary,Product review,5,Delivery delay,Gmail,"Online meetings, Schedule management, Email",Realme
Male,41-50,Single,Private company employee,15001-20000,3-5 hours,Most necessary,Product feature,4,Unable to inspect product,"Instagram, YouTube, TikTok","Social media, Take photos/videos, Watch movies/Listen to music",Samsung
Female,41-50,Single,Government officer,20001-30000,1-3 hours,Most necessary,Product feature,5,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok","Track delivery, Customer chat, Email",Vivo
Female,33-40,Single,Student,20001-30000,1-3 hours,Not necessary,Product feature,4,Unable to inspect product,"Instagram, Facebook, Facebook Messenger, TikTok, Telegram","Product photography, Edit reviews, Online marketplace",Vivo
Female,18-25,Single,Private company employee,15001-20000,3-5 hours,Most necessary,Product feature,2,Unable to inspect product,"Instagram, Facebook, Facebook Messenger, Spotify, TikTok","Track delivery, Customer chat, Email",Oppo
Male,60+,Single,Business owner,15001-20000,More than 5 hours,Necessary,Product feature,5,Concerns about payment security,Discord,"Cloud apps, Communication/meetings, Social media",Xiaomi
Female,33-40,Single,Business owner,15001-20000,0-1 hours,Not necessary,Product feature,4,Concerns about payment security,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line","Play games, Streaming, Take photos/videos",Vivo
Male,18-25,Single,Private company employee,15001-20000,0-1 hours,Necessary,Product feature,4,Warranty or service concerns,WhatsApp,"Chat with family, Read e-books, Listen to radio",Oppo
Male,60+,Married,Private company employee,15001-20000,,Not necessary,Price,4,Unable to inspect product,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok","Watch movies/listen to music, Take photos/videos",Xiaomi
Male,41-50,Married,Private company employee,15001-20000,,Necessary,Product feature,5,Warranty or service concerns,WhatsApp,"GPS navigation, Check car condition, Listen to podcasts",Apple
Male,26-32,Married,Business owner,More than 50001,1-3 hours,Necessary,Product feature,2,Concerns about payment security,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram","Track delivery, Customer chat, Email",Oppo
Female,33-40,Single,Private company employee,15001-20000,More than 5 hours,Necessary,Product feature,3,Concerns about payment security,"Instagram, YouTube, Facebook Messenger, Spotify, TikTok","Cloud apps, Communication/meetings, Social media",Realme
Male,33-40,Single,Private company employee,15001-20000,,Necessary,Product feature,2,Unable to inspect product,VSCO,"Watch movies/listen to music, Take photos/videos",Realme
Female,33-40,Married,Private company employee,15001-20000,1-3 hours,Necessary,Product feature,1,Unable to inspect product,"Facebook, TikTok, Line","Cloud apps, Communication/meetings, Social media",Realme
Female,60+,Single,Private company employee,15001-20000,More than 5 hours,Not necessary,Product feature,3,Concerns about payment security,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify","Email, , Finance",Xiaomi
Female,33-40,Single,Business owner,15001-20000,1-3 hours,Not necessary,Product feature,2,Unable to inspect product,"Instagram, YouTube, Facebook Messenger, TikTok","Watch movies/listen to music, Take photos/videos, Social media",Apple
Female,26-32,Married,Private company employee,15001-20000,0-1 hours,Most necessary,Price,2,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger","Play games, Take photos, Watch movies",Oppo
Male,26-32,Single,Business owner,15001-20000,3-5 hours,Necessary,Price,2,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X","Watch movies/listen to music, Play games, Social media",Apple
Male,60+,Single,Private company employee,15001-20000,,Necessary,Product feature,4,Warranty or service concerns,"Facebook, Facebook Messenger, Line","Play games, Take photos, Watch movies",Realme 7 5G
Female,26-32,Married,Business owner,20001-30000,,Not necessary,Product feature,4,Unable to inspect product,Shopee,"Take photos/videos, Watch movies/Listen to music, Online shopping",Realme
Female,18-25,Single,Student,15001-20000,,Most necessary,Product feature,4,Warranty or service concerns,CapCut,"Streaming, Take photos/videos, Edit video",Vivo
Female,33-40,Single,Government officer,15001-20000,1-3 hours,Necessary,Product feature,5,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, Telegram","Play games, Take photos/videos, Cloud apps",Apple
Female,18-25,Married,Private company employee,30001-40000,0-1 hours,Most necessary,Product feature,2,Unable to inspect product,"YouTube, TikTok","Take photos/videos, Communication/meetings, Social media",Oppo
Male,60+,Married,Government officer,15001-20000,0-1 hours,Not necessary,Product feature,2,Warranty or service concerns,"Instagram, Facebook Messenger, TikTok","Track delivery, Customer chat, Email",Realme 7 5G
Male,60+,Single,Factory worker,More than 50001,1-3 hours,Not necessary,Product feature,1,Unable to inspect product,Discord,"Email, , Finance",Samsung
Female,26-32,Single,Student,More than 50001,3-5 hours,Necessary,Product feature,1,Unable to inspect product,WhatsApp,"Email, , Finance",Apple
Male,18-25,Single,Private company employee,15001-20000,More than 5 hours,Necessary,Product feature,1,Warranty or service concerns,Telegram,"Communication, Take photos, Social media",Realme
Female,60+,Single,Private company employee,15001-20000,More than 5 hours,Necessary,Product feature,2,Warranty or service concerns,"Facebook, YouTube","Play games, Streaming, Social media",Xiaomi
Female,41-50,Single,Factory worker,15001-20000,More than 5 hours,Necessary,Product feature,4,Unable to inspect product,"Instagram, Facebook, Facebook Messenger, Spotify, TikTok","/, Email, Finance",Oppo
Female,26-32,Single,Private company employee,15001-20000,1-3 hours,Necessary,Product feature,2,Warranty or service concerns,TikTok,"Watch movies/listen to music, Play games, Social media",Apple
Male,33-40,Single,Private company employee,30001-40000,More than 5 hours,Not necessary,Product feature,3,Warranty or service concerns,VSCO,"Take photos/videos, Communication/meetings, Social media",Samsung
Male,41-50,Single,Student,15001-20000,3-5 hours,Not necessary,Product feature,1,Unable to inspect product,Microsoft Teams,"Play games, Take photos/videos, Cloud apps",Oppo
Male,60+,Single,Government officer,15001-20000,3-5 hours,Necessary,Product feature,2,Unable to inspect product,"Facebook, Facebook Messenger, Spotify, TikTok","Take photos/videos, Watch movies/Listen to music, Online shopping",Realme 7 5G
Female,33-40,Married,Private company employee,15001-20000,1-3 hours,Necessary,Product feature,1,Unable to inspect product,"Facebook, TikTok, Line","Cloud apps, Communication/meetings, Social media",Realme
Female,60+,Single,Business owner,15001-20000,,Not necessary,Product review,2,Delivery delay,"YouTube, Facebook Messenger, Discord, Wise","Watch movies/listen to music, Take photos/videos",Apple
Male,41-50,Married,Business owner,15001-20000,3-5 hours,Necessary,Product feature,3,Unable to inspect product,Facebook,"Email, , Finance",Infinix
Male,33-40,Married,Private company employee,15001-20000,3-5 hours,Necessary,Product feature,4,Warranty or service concerns,"Instagram, YouTube, TikTok","Play games, Streaming, Take photos/videos",Vivo
Male,41-50,Single,Business owner,15001-20000,More than 5 hours,Most necessary,Product feature,2,Unable to inspect product,"Instagram, YouTube, TikTok","Watch movies/listen to music, Social media",Infinix
Male,60+,Married,Business owner,15001-20000,,Not necessary,Product feature,5,Unable to inspect product,"Instagram, Facebook Messenger, TikTok","Online meetings, Schedule management, Email",Huawei
Male,18-25,Single,Private company employee,15001-20000,More than 5 hours,Necessary,Product feature,1,Concerns about payment security,Microsoft Teams,"Play games, Take photos/videos",Realme
Male,33-40,Single,Factory worker,20001-30000,3-5 hours,Not necessary,Product review,1,Unable to inspect product,"Instagram, Facebook, Facebook Messenger, TikTok","Take photos, Listen to music, Social media",Realme
Female,60+,Married,Government officer,30001-40000,,Not necessary,Product feature,1,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Telegram","Watch movies/listen to music, Communication/meetings, Social media",Oppo
Male,33-40,Single,Business owner,20001-30000,More than 5 hours,Not necessary,Product feature,4,Unable to inspect product,"Facebook, YouTube","Communication, Take photos, Social media",Xiaomi
Female,18-25,Single,Business owner,More than 50001,More than 5 hours,Necessary,Price,1,Warranty or service concerns,"Instagram, YouTube, Spotify, TikTok","/, Email, Finance",Apple
Female,26-32,Single,Student,15001-20000,More than 5 hours,Necessary,Product feature,1,Unable to inspect product,"Instagram, YouTube, Spotify, TikTok","Chat with family, Read e-books, Listen to radio",Realme
Female,26-32,Married,Private company employee,More than 50001,0-1 hours,Most necessary,Product feature,5,Unable to inspect product,"Instagram, Facebook, Facebook Messenger, Spotify, TikTok","Watch movies/listen to music, Take photos/videos",Samsung
Female,60+,Single,Student,15001-20000,,Necessary,Product feature,3,Warranty or service concerns,TikTok,"Watch movies/listen to music, Play games, Take photos/videos",Realme
Female,60+,Single,Private company employee,30001-40000,3-5 hours,Not necessary,Product feature,4,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Telegram","Take photos, Listen to music, Social media",Samsung
Female,33-40,Married,Private company employee,20001-30000,,Most necessary,Product feature,4,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Telegram",Watch movies/listen to music,Realme
Female,26-32,Married,Private company employee,15001-20000,1-3 hours,Not necessary,Product review,5,Delivery delay,Gmail,"Online meetings, Schedule management, Email",Realme
Female,18-25,Single,Business owner,15001-20000,3-5 hours,Necessary,Product feature,2,Concerns about payment security,"Instagram, Facebook, YouTube, Facebook Messenger","Watch movies, Take photos, Listen to music",Samsung
Male,18-25,Single,Student,15001-20000,More than 5 hours,Most necessary,Product feature,3,Unable to inspect product,"Facebook, YouTube","Watch movies/listen to music, Play games",Huawei
Male,18-25,Single,Student,15001-20000,1-3 hours,Necessary,Product feature,4,Unable to inspect product,TikTok,"Play games, Take photos, Watch movies",Oppo
Male,18-25,Single,Private company employee,15001-20000,More than 5 hours,Necessary,Product feature,1,Concerns about payment security,Microsoft Teams,"Play games, Take photos/videos",Realme
Male,33-40,Single,Private company employee,15001-20000,0-1 hours,Not necessary,Product feature,1,Concerns about payment security,Facebook,"Watch movies/listen to music, Play games, Cloud apps",Infinix
Male,33-40,Married,Private company employee,15001-20000,0-1 hours,Not necessary,Product feature,2,Warranty or service concerns,"Instagram, YouTube, TikTok","Watch movies/listen to music, Take photos/videos, Communication/meetings",Xiaomi
Male,41-50,Single,Private company employee,15001-20000,1-3 hours,Necessary,Product feature,1,Unable to inspect product,LINE,"GPS navigation, Check car condition, Listen to podcasts",Oppo
Female,33-40,Single,Business owner,15001-20000,1-3 hours,Not necessary,Product feature,2,Unable to inspect product,"Instagram, YouTube, Facebook Messenger, TikTok","Watch movies/listen to music, Take photos/videos, Social media",Apple
Male,60+,Single,Private company employee,15001-20000,More than 5 hours,Necessary,Product feature,5,Warranty or service concerns,Instagram,"Communication, Take photos, Social media",Samsung
Male,60+,Single,Factory worker,15001-20000,,Necessary,Product feature,4,Unable to inspect product,Facebook,"Play games, Streaming, Social media",Apple
Female,26-32,Single,Private company employee,30001-40000,0-1 hours,Necessary,Product feature,4,Warranty or service concerns,"Facebook, YouTube","Watch movies/listen to music, Take photos/videos, Social media",Apple
Male,26-32,Single,Business owner,More than 50001,,Necessary,Product feature,4,Warranty or service concerns,"Instagram, Facebook, TikTok","Cloud apps, Communication/meetings, Social media",Apple
Female,60+,Single,Business owner,15001-20000,,Not necessary,Product feature,4,Warranty or service concerns,"Facebook, YouTube, Facebook Messenger","Watch movies, Play games, Take photos",Oppo
Female,26-32,Single,Factory worker,15001-20000,0-1 hours,Most necessary,Product feature,1,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram","Product photography, Edit reviews, Online marketplace",Samsung
Female,33-40,Single,Private company employee,20001-30000,3-5 hours,Necessary,Product feature,3,Delivery delay,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X","Product photography, Edit reviews, Online marketplace",Vivo
Female,26-32,Married,Factory worker,30001-40000,1-3 hours,Not necessary,Price,3,Unable to inspect product,VSCO,"Watch movies/listen to music, Social media",Oppo
Female,33-40,Single,Student,15001-20000,,Necessary,Product feature,2,Delivery delay,"Instagram, Facebook, Facebook Messenger, TikTok, Telegram","Communication/meetings, Social media",Vivo
Male,41-50,Single,Business owner,15001-20000,3-5 hours,Not necessary,Product feature,3,Unable to inspect product,"Instagram, Facebook, YouTube","Watch movies/listen to music, Take photos/videos, Communication/meetings",Samsung
Male,33-40,Single,Factory worker,20001-30000,3-5 hours,Not necessary,Product review,1,Unable to inspect product,"Instagram, Facebook, Facebook Messenger, TikTok","Take photos, Listen to music, Social media",Realme
Male,60+,Single,Government officer,15001-20000,3-5 hours,Necessary,Product feature,2,Unable to inspect product,"Facebook, Facebook Messenger, Spotify, TikTok","Take photos/videos, Watch movies/Listen to music, Online shopping",Realme 7 5G
Female,60+,Single,Private company employee,15001-20000,1-3 hours,Not necessary,Product feature,5,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, WhatsApp, TikTok, Telegram","Watch movies/listen to music, Play games, Take photos/videos",Huawei
Female,60+,Married,Business owner,15001-20000,More than 5 hours,Not necessary,Product feature,2,Warranty or service concerns,Microsoft Teams,"Cloud apps, Communication/meetings, Social media",Xiaomi
Male,18-25,Single,Private company employee,15001-20000,More than 5 hours,Not necessary,Product feature,1,Unable to inspect product,"Instagram, Facebook, Facebook Messenger, TikTok, LINE","Play esports, Stream games, Community chat",Samsung
Female,33-40,Married,Business owner,15001-20000,More than 5 hours,Necessary,Product feature,5,Concerns about payment security,Google Maps,"Watch movies/listen to music, Play games, Take photos/videos",Huawei
Female,26-32,Married,Student,More than 50001,More than 5 hours,Necessary,Product feature,3,Warranty or service concerns,"Facebook, YouTube, Facebook Messenger, Spotify","Chat with family, Read e-books, Listen to radio",Oppo
Male,33-40,Single,Business owner,20001-30000,1-3 hours,Most necessary,Product feature,2,Concerns about payment security,SET,"Watch movies/listen to music, Play games, Take photos",Xiaomi
Female,18-25,Married,Business owner,15001-20000,More than 5 hours,Most necessary,Product feature,4,Warranty or service concerns,SET,"Email, , Finance",Apple
Female,26-32,Married,Business owner,15001-20000,1-3 hours,Not necessary,Product review,1,Unable to inspect product,VSCO,"Communication/meetings, Social media",Realme
Male,26-32,Married,Business owner,15001-20000,,Necessary,Product feature,2,Concerns about payment security,"Instagram, Facebook, YouTube","Take photos, Listen to music, Social media",Vivo
Male,18-25,Single,Private company employee,15001-20000,1-3 hours,Not necessary,Product feature,5,Unable to inspect product,"Instagram, TikTok","Play games, Streaming, Social media",Xiaomi
Male,26-32,Single,Private company employee,15001-20000,0-1 hours,Not necessary,Product feature,4,Warranty or service concerns,Telegram,Play games,Apple
Male,33-40,Single,Private company employee,20001-30000,3-5 hours,Necessary,Product feature,2,Unable to inspect product,"Facebook, Facebook Messenger, Line","Take photos/videos, Communication/meetings, Social media",Vivo
Female,60+,Married,Government officer,30001-40000,,Not necessary,Product feature,1,Unable to inspect product,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Telegram","Watch movies/listen to music, Communication/meetings, Social media",Oppo
Female,60+,Single,Business owner,15001-20000,1-3 hours,Not necessary,Product feature,1,Delivery delay,"YouTube, Facebook Messenger, Discord, Wise","Cloud apps, Communication/meetings, Social media",Samsung
Female,60+,Single,Business owner,15001-20000,,Not necessary,Product review,2,Delivery delay,"YouTube, Facebook Messenger, Discord, Wise","Watch movies/listen to music, Take photos/videos",Apple
Male,60+,Single,Private company employee,15001-20000,0-1 hours,Most necessary,Price,4,Warranty or service concerns,"Instagram, YouTube, Facebook Messenger, TikTok",Watch movies/listen to music,Xiaomi
Male,18-25,Single,Business owner,15001-20000,3-5 hours,Necessary,Product feature,1,Unable to inspect product,Telegram,"Play esports, Stream games, Community chat",Apple
Female,41-50,Married,Business owner,More than 50001,3-5 hours,Not necessary,Product feature,1,Concerns about payment security,"Instagram, Facebook, YouTube, Spotify, TikTok","Art photography, Video editing, Upload stories",Oppo
Female,60+,Married,Private company employee,15001-20000,0-1 hours,Not necessary,Product feature,1,Warranty or service concerns,"Instagram, Facebook, Facebook Messenger, Spotify, TikTok","Watch movies/listen to music, Social media",Realme
Female,33-40,Married,Business owner,15001-20000,1-3 hours,Not necessary,Product feature,5,Warranty or service concerns,WhatsApp,"Play games, Streaming, Social media",Oppo
Female,26-32,Single,Private company employee,15001-20000,1-3 hours,Necessary,Product feature,4,Warranty or service concerns,Instagram,"Watch movies, Take photos, Listen to music",Vivo
Female,33-40,Single,Student,15001-20000,,Not necessary,Product feature,3,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger","Art photography, Video editing, Upload stories",Apple
Male,41-50,Single,Student,15001-20000,,Most necessary,Product feature,2,Unable to inspect product,"Instagram, Facebook, Facebook Messenger, TikTok, LINE","Email, , Finance",Vivo
Male,60+,Single,Government officer,15001-20000,3-5 hours,Necessary,Product feature,2,Unable to inspect product,"Facebook, Facebook Messenger, Spotify, TikTok","Take photos/videos, Watch movies/Listen to music, Online shopping",Realme 7 5G
Male,18-25,Single,Private company employee,15001-20000,3-5 hours,Not necessary,Product review,5,Unable to inspect product,LINE,"Read news, Check stocks, Finance",Realme
Male,18-25,Single,Private company employee,15001-20000,,Necessary,Product feature,2,Warranty or service concerns,"Instagram, YouTube, Spotify, TikTok","Online meetings, Schedule management, Email",Realme 7 5G
Male,33-40,Single,Private company employee,20001-30000,1-3 hours,Not necessary,Product feature,1,Unable to inspect product,"Instagram, Facebook, YouTube, Spotify, TikTok",Watch movies/listen to music,Apple
Female,26-32,Single,Private company employee,15001-20000,0-1 hours,Necessary,Product feature,4,Unable to inspect product,"Instagram, Facebook, YouTube, Snapchat, Facebook Messenger, Spotify, WhatsApp, TikTok","Take photos/videos, Communication/meetings, Social media",Huawei
Female,60+,Single,Business owner,15001-20000,0-1 hours,Necessary,Product feature,3,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, TikTok, Line, X","Online meetings, Schedule management, Email",Xiaomi
Male,60+,Single,Private company employee,15001-20000,3-5 hours,Most necessary,Product review,2,Unable to inspect product,LINE,"Email, , Finance",Samsung
Male,18-25,Single,Private company employee,15001-20000,1-3 hours,Most necessary,Product feature,1,Warranty or service concerns,"Instagram, Facebook, YouTube, Facebook Messenger, Spotify, TikTok","Play games, Streaming, Social media",Realme
Male,33-40,Single,Private company employee,15001-20000,More than 5 hours,Necessary,Product feature,4,Warranty or service concerns,"Instagram, Facebook, Facebook Messenger, TikTok, LINE","Online shopping, Social media, Finance",Xiaomi
Male,18-25,Single,Private company employee,15001-20000,More than 5 hours,Not necessary,Product feature,1,Unable to inspect product,Gmail,"Watch movies, Listen to music, Take photos",Infinix
Male,41-50,Single,Student,15001-20000,,Not necessary,Product feature,5,Unable to inspect product,"Instagram, Facebook, YouTube","Play games, Streaming, Social media",Infinix
